"Subject" "RT" "Trial" "Sex" "NativeLanguage" "Correct" "PrevType" "PrevCorrect" "Word" "Frequency" "FamilySize" "SynsetCount" "Length" "Class" "FreqSingular" "FreqPlural" "DerivEntropy" "Complex" "rInfl" "meanRT" "SubjFreq" "meanSize" "meanWeight" "BNCw" "BNCc" "BNCd" "BNCcRatio" "BNCdRatio"
"1" "A1" 6.340359 23 "F" "English" "correct" "word" "correct" "owl" 4.859812 1.3862944 0.6931472 3 "animal" 54 74 0.7912 "simplex" -0.31015493 6.3582 3.12 3.4758 3.1806 12.057065 0 6.175602 0 0.512198
"2" "A1" 6.308098 27 "F" "English" "correct" "nonword" "correct" "mole" 4.60517 1.0986123 1.9459101 4 "animal" 69 30 0.6968 "simplex" 0.81450804 6.415 2.4 2.9999 2.6112 5.738806 4.062251 2.850278 0.707856 0.496667
"3" "A1" 6.349139 29 "F" "English" "correct" "nonword" "correct" "cherry" 4.997212 0.6931472 1.6094379 6 "plant" 83 49 0.4754 "simplex" 0.51879379 6.3426 3.88 1.6278 1.2081 5.71652 3.249801 12.588727 0.568493 2.202166
"4" "A1" 6.186209 30 "F" "English" "correct" "word" "correct" "pear" 4.727388 0 1.0986123 4 "plant" 44 68 0 "simplex" -0.42744401 6.3353 4.52 1.9908 1.6114 2.05037 1.46241 7.363218 0.713242 3.591166
"5" "A1" 6.025866 32 "F" "English" "correct" "nonword" "correct" "dog" 7.667626 3.1354942 2.0794415 3 "animal" 1233 828 1.2129 "simplex" 0.39779605 6.2956 6.04 4.6429 4.5167 74.838494 50.859385 241.56104 0.679589 3.227765
"6" "A1" 6.180017 33 "F" "English" "correct" "word" "correct" "blackberry" 4.060443 0.6931472 1.3862944 10 "plant" 26 31 0.3492 "complex" -0.16989904 6.3959 3.28 1.5831 1.1365 1.270338 0.16249 1.187616 0.127911 0.934882
"7" "A1" 6.035481 34 "F" "English" "correct" "word" "correct" "strawberry" 4.75359 0 1.3862944 10 "plant" 50 65 0 "complex" -0.25782911 6.3475 5.04 1.8922 1.4951 2.919548 0.64996 18.526805 0.222624 6.345778
"8" "A1" 6.263398 38 "F" "English" "correct" "nonword" "correct" "squirrel" 4.70953 0 1.0986123 8 "animal" 63 47 0 "simplex" 0.28768207 6.4491 2.8 3.7114 3.4178 2.406956 0.81245 1.425139 0.337543 0.592092
"9" "A1" 6.459904 41 "F" "English" "correct" "nonword" "correct" "radish" 3.044522 0.6931472 1.3862944 6 "plant" 11 9 0.9403 "simplex" 0.18232156 6.4133 3.12 1.3226 0.8244 1.961223 0 0 0 0
"10" "A1" 6.184149 42 "F" "English" "correct" "word" "correct" "almond" 4.204693 0 1.0986123 6 "plant" 24 42 0 "simplex" -0.54232429 6.3908 3.72 1.8912 1.486 3.075555 0.16249 1.425139 0.052833 0.463376
